Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10953244,2020-01-22 23:02:09,2020-01-22 17:27:39,7939778,2397812956,7939778,302,735,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953244.sralite.1,SRX7619815,GGOBH,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244012,PRJNA567313,,567313,SRS6052169,SAMN12794108,simple,3694,Populus trichocarpa,Gp0382706,,,,,,,no,,,,,JGI,SRA1030248,,public,60424214ABF6A104D718D5D6DCADF2DB,5B8FC5795E26C2E714B5B6A2F466D2CC
SRR10953253,2020-01-22 23:02:09,2020-01-22 17:30:40,7187214,2170538628,7187214,302,675,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953253.sralite.1,SRX7619806,GGNYC,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244004,PRJNA567314,,567314,SRS6052161,SAMN12794204,simple,3694,Populus trichocarpa,Gp0382707,,,,,,,no,,,,,JGI,SRA1030248,,public,9F7FC615D73E3569D8DB72A2BA056F29,7485503FB317A8B78E75F6DA7BA3CA1E
SRR10953286,2020-01-22 23:02:09,2020-01-22 17:08:44,12733122,3845402844,12733122,302,1186,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953286.sralite.1,SRX7619773,GGNXZ,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243970,PRJNA567315,,567315,SRS6052127,SAMN12793986,simple,3694,Populus trichocarpa,Gp0382708,,,,,,,no,,,,,JGI,SRA1030248,,public,3C37D3826BB4AE96155DF5BED9959602,314AF4220628AB59C009236FB1C5D038
SRR10953287,2020-01-22 23:02:08,2020-01-22 17:43:03,8260452,2494656504,8260452,302,771,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953287.sralite.1,SRX7619772,GGNXY,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243969,PRJNA567316,,567316,SRS6052126,SAMN12794359,simple,3694,Populus trichocarpa,Gp0382709,,,,,,,no,,,,,JGI,SRA1030248,,public,488F3C476612B46098CCB2C6CE4DC7AB,5D28DE7EB1FCF360E7A4A55A158AE34E
SRR10953266,2020-01-22 23:02:09,2020-01-22 17:03:29,10198852,3080053304,10198852,302,952,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953266.sralite.1,SRX7619793,GGOAB,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243990,PRJNA567317,,567317,SRS6052146,SAMN12794438,simple,3694,Populus trichocarpa,Gp0382710,,,,,,,no,,,,,JGI,SRA1030248,,public,26077E2AC666C3C2BC3AF23CF6E7478C,F4BDAE17987A774280FDCE1ECE773AB4
SRR10953245,2020-01-22 23:02:09,2020-01-22 17:24:05,7715406,2330052612,7715406,302,713,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953245.sralite.1,SRX7619814,GGOBO,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244011,PRJNA567318,,567318,SRS6052168,SAMN12794221,simple,3694,Populus trichocarpa,Gp0382712,,,,,,,no,,,,,JGI,SRA1030248,,public,91FB822E7AD9A128E93BC26DABC69829,877E8F2055CCB874DDFEB17299C07124
SRR10953290,2020-01-22 23:02:08,2020-01-22 17:07:14,10823670,3268748340,10823670,302,1013,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/953/SRR10953290.sralite.1,SRX7619769,GGNZZ,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243965,PRJNA567319,,567319,SRS6052122,SAMN12794053,simple,3694,Populus trichocarpa,Gp0382713,,,,,,,no,,,,,JGI,SRA1030248,,public,EF152A2DD30AE2927FAD42526C069729,9031A464D24092C9C11B8E1F4447A50D
SRR10953282,2020-01-22 23:02:09,2020-01-22 17:41:13,8413231,2540795762,8413231,302,789,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953282.sralite.1,SRX7619777,GGNZG,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243974,PRJNA567320,,567320,SRS6052131,SAMN12794054,simple,3694,Populus trichocarpa,Gp0382714,,,,,,,no,,,,,JGI,SRA1030248,,public,89A597EE8C0824D9531713288F6FCD2C,B9013792B66E97F849CCC8EE31C889C3
SRR10953269,2020-01-22 23:02:09,2020-01-22 17:30:08,5384260,1626046520,5384260,302,507,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953269.sralite.1,SRX7619790,GGOAO,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP243987,PRJNA567321,,567321,SRS6052144,SAMN12794302,simple,3694,Populus trichocarpa,Gp0382715,,,,,,,no,,,,,JGI,SRA1030248,,public,85700C5AD4D040844B5BDC236880F664,2AF5BF21C6533D4B133922F4660DF456
SRR10953241,2020-01-22 23:02:09,2020-01-22 17:22:08,6567940,1983517880,6567940,302,624,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/953/SRR10953241.sralite.1,SRX7619818,GGOBC,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP244015,PRJNA567322,,567322,SRS6052172,SAMN12794125,simple,3694,Populus trichocarpa,Gp0382716,,,,,,,no,,,,,JGI,SRA1030248,,public,EEA38B3F873958D830C7B416443F0A11,12A22D1956CF98F8503D2A086A4B38D8
