Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6454088,2019-04-01 00:27:33,2019-06-10 15:26:12,13296945,3934389030,13296945,295,1661,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR006/454/SRR6454088.sralite.1,SRX3544685,1127_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817790,SAMN08321512,simple,344680,Brassica rapa var. perviridis,1127,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,385D906670C11E63B48A516F600FF95C,AF4607921874F64CC42167754A9BAAB2
SRR5247887,2017-02-18 04:06:04,2017-02-12 13:31:10,1208171,92651760,0,76,43,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/247/SRR5247887.sralite.1,SRX2554075,250495635,WGS,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP099313,PRJNA374457,,374457,SRS1971755,SAMN06323611,simple,3711,Brassica rapa,112:C6NNTANXX:1:250495635,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA537206,,public,F20E32A520FA02FEDAA9286B2C837534,D4B4373FA82F0CE84F491D162F3769B8
SRR6453689,2019-04-01 00:27:28,2019-05-22 08:24:12,9118156,2683451011,9118156,294,1103,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453689.sralite.1,SRX3544490,1130_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817656,SAMN08321514,simple,51350,Brassica rapa subsp. rapa,1130,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,BF008A4853141AC504D76FF6C9CAC80B,B7E02C174DE70C876BB8AF4895F6E28A
SRR6453690,2019-04-01 00:27:28,2019-05-22 08:24:02,9074467,2666824582,9074467,293,1101,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453690.sralite.1,SRX3544489,1134_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817652,SAMN08321515,simple,1813537,Brassica rapa subsp. trilocularis,1134,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,FE598D44692F2BFA2DECE20A2783B4D3,550319A7849122525EE68177CF6195AD
SRR6453687,2019-04-01 00:27:28,2019-05-22 08:02:38,13471988,3955149806,13471988,293,1634,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453687.sralite.1,SRX3544492,1135_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817655,SAMN08321516,simple,1813537,Brassica rapa subsp. trilocularis,1135,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,3C9EA34C3BDE89E075B87E16B17855C8,21E69D03241DC6C6DDD090FE9B98919F
SRR6453688,2019-04-01 00:27:28,2019-05-22 08:25:25,11095014,3262481344,11095014,294,1345,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/453/SRR6453688.sralite.1,SRX3544491,1136_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817654,SAMN08321517,simple,1813537,Brassica rapa subsp. trilocularis,1136,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,73C502F514041F990A33CD3A05F81A1B,B327128EC5A76C02CD89C54E5059ABAB
SRR6453693,2019-04-01 00:27:28,2019-05-22 09:09:47,8297469,2447212591,8297469,294,1014,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453693.sralite.1,SRX3544486,1137_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817650,SAMN08321518,simple,1813537,Brassica rapa subsp. trilocularis,1137,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,1E0D1AB337A75A9FAB7EA5D72423F5DA,D246BE149AEFDA9CB94CEB6140CBDC7E
SRR6453694,2019-04-01 00:27:28,2019-05-22 08:24:44,10005331,2947510144,10005331,294,1220,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453694.sralite.1,SRX3544485,1138_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817647,SAMN08321519,simple,1813537,Brassica rapa subsp. trilocularis,1138,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,63C1AE41ABB39F4E2466BA8CD4B7E26D,0FFB43381374AE8D017B4544A02A6264
SRR6453691,2019-04-01 00:27:28,2019-05-22 09:09:19,10902631,3238888128,10902631,297,1313,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453691.sralite.1,SRX3544488,1139_GSS,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP128554,PRJNA428769,,428769,SRS2817653,SAMN08321520,simple,1813537,Brassica rapa subsp. trilocularis,1139,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA645355,,public,A087D88B8CC87D9B8DB0EAE5525FBB84,43328BFFDCA78F241B720B45F74284B3
SRR5247784,2017-02-18 04:06:02,2017-02-12 13:28:57,1587621,121787742,0,76,55,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/247/SRR5247784.sralite.1,SRX2553972,250495879,WGS,Restriction Digest,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP099313,PRJNA374457,,374457,SRS1971652,SAMN06323714,simple,3711,Brassica rapa,113:C6NNTANXX:3:250495879,,,,,,,no,,,,,UNIVERSITY OF MISSOURI,SRA537206,,public,06FD79C7E8FCC5C7B70C98B0F4B9591B,640B91878686340046286465230F3ACB
