"ID","Response","Variable","Estimate","Std. Error","t value","Pr(>|t|)"
1,"scale(log10(pi))","(Intercept)","-2.23345696884902","1.34410264649338","-1.66167143162457","0.0999461223762508"
1,"scale(log10(pi))","log10(gbif_all_popsize)","0.142945387632424","0.0603810362448114","2.36738877837174","0.0199860830419127"
1,"scale(log10(pi))","Mating.systemoutcrossing","0.755470018805362","0.0994550224409015","7.59609721323305","2.3443025298775e-11"
1,"scale(log10(pi))","cultivation.statuswild","0.157473645817194","0.168519790801508","0.934451942221288","0.352490779911254"
1,"scale(log10(pi))","Generation.timenot
annual","0.211767323232025","0.264650747790053","0.800176553440235","0.425647798961216"
2,"scale(jac)","(Intercept)","-7.42834072548024","2.51891492757467","-2.94902405959085","0.00403151946934299"
2,"scale(jac)","log10(gbif_all_popsize)","0.535736413944364","0.113157052354805","4.7344500656005","7.84112925211744e-06"
2,"scale(jac)","Mating.systemoutcrossing","1.84660875013523","0.186383637665053","9.90756899730514","4.44089209850063e-16"
2,"scale(jac)","cultivation.statuswild","0.364801861421841","0.315814434075493","1.15511459281383","0.251002779924805"
2,"scale(jac)","Generation.timenot
annual","-0.399530726908407","0.495968608455119","-0.805556480989586","0.422553516933478"
3,"scale(bcd)","(Intercept)","-9.57188265978591","2.76776068176352","-3.4583490989138","0.000821700134805203"
3,"scale(bcd)","log10(gbif_all_popsize)","0.718584633764781","0.124335934073581","5.77938018577579","9.92251063536287e-08"
3,"scale(bcd)","Mating.systemoutcrossing","1.57488012094246","0.204796636204817","7.6899706466244","1.49802392712672e-11"
3,"scale(bcd)","cultivation.statuswild","0.408259277240489","0.347014011389884","1.17649219870201","0.242400851411303"
3,"scale(bcd)","Generation.timenot
annual","-0.211938291783837","0.544965770317922","-0.388902025278021","0.698237610130092"
4,"scale(log10(pi))","(Intercept)","-1.82890246915014","1.14852399246282","-1.5923937864183","0.114689668251024"
4,"scale(log10(pi))","log10(gbif_all_area)","0.219589100982652","0.0669187449764889","3.28142885913061","0.00145513696650834"
4,"scale(log10(pi))","Mating.systemoutcrossing","0.8326476488903","0.102787663663965","8.10065740585763","2.08766337550514e-12"
4,"scale(log10(pi))","cultivation.statuswild","0.206684233157748","0.159890077306226","1.29266453953801","0.199329463315945"
4,"scale(log10(pi))","Generation.timenot
annual","0.00850785081995886","0.258416842908966","0.0329229733023089","0.973806569484872"
5,"scale(jac)","(Intercept)","-3.64181041145765","2.30305890452022","-1.58129277731884","0.117206280840907"
5,"scale(jac)","log10(gbif_all_area)","0.485427749168997","0.134187716154662","3.61752746882958","0.000483300275214704"
5,"scale(jac)","Mating.systemoutcrossing","1.83163187279995","0.206113277240733","8.88653024841611","4.64073224293315e-14"
5,"scale(jac)","cultivation.statuswild","0.625107530892406","0.320616955937425","1.94970203327115","0.0542238855769532"
5,"scale(jac)","Generation.timenot
annual","-0.974949267664238","0.518186137203191","-1.88146536093447","0.0630365788556606"
6,"scale(bcd)","(Intercept)","-4.98655261466043","2.51749722042965","-1.98075794252889","0.0505727759398145"
6,"scale(bcd)","log10(gbif_all_area)","0.724488041011098","0.146681963614621","4.93917604562856","3.44662831097686e-06"
6,"scale(bcd)","Mating.systemoutcrossing","1.6209282719477","0.225304529349539","7.19438830913597","1.57181823112751e-10"
6,"scale(bcd)","cultivation.statuswild","0.740913839056586","0.350469670493831","2.11405979299891","0.0371860978712517"
6,"scale(bcd)","Generation.timenot
annual","-1.02426320639116","0.566434561232369","-1.80826396638424","0.0737974955074214"
7,"scale(log10(pi))","(Intercept)","-2.11317609221928","1.37797783518345","-1.53353416743307","0.128539275764426"
7,"scale(log10(pi))","log10(gbif_native_popsize)","0.135395073175645","0.0647318966727581","2.09162839550513","0.0391974397277493"
7,"scale(log10(pi))","Mating.systemoutcrossing","0.74678523197091","0.10125327796551","7.37541783314202","6.68736177544815e-11"
7,"scale(log10(pi))","cultivation.statuswild","0.169903618721379","0.16940508997304","1.00294282036283","0.318490890969935"
7,"scale(log10(pi))","Generation.timenot
annual","0.200410767484142","0.266177273998798","0.752922157753585","0.453398408725225"
8,"scale(jac)","(Intercept)","-7.6358586425942","2.57981964672611","-2.95984203868065","0.00390452279545062"
8,"scale(jac)","log10(gbif_native_popsize)","0.558048491851981","0.121189626235166","4.60475462453443","1.30709839267773e-05"
8,"scale(jac)","Mating.systemoutcrossing","1.85594066849623","0.189564149089574","9.79056787588696","4.44089209850063e-16"
8,"scale(jac)","cultivation.statuswild","0.379190038391541","0.31715646522694","1.19559296424941","0.234895119363654"
8,"scale(jac)","Generation.timenot
annual","-0.415678348169391","0.498331209284422","-0.83414070887971","0.406339160132323"
9,"scale(bcd)","(Intercept)","-9.80110193658688","2.8467937447452","-3.44285635539224","0.00086454456566365"
9,"scale(bcd)","log10(gbif_native_popsize)","0.744735262567958","0.133731003379287","5.56890506875018","2.47166679789856e-07"
