assembly	chromosome
buddleja_alternifolia	WHWC01000245.1
buddleja_alternifolia	WHWC01000246.1
buddleja_alternifolia	WHWC01000248.1
buddleja_alternifolia	WHWC01000251.1
buddleja_alternifolia	WHWC01000252.1
buddleja_alternifolia	WHWC01000261.1
buddleja_alternifolia	WHWC01000263.1
buddleja_alternifolia	WHWC01000267.1
buddleja_alternifolia	WHWC01000270.1
buddleja_alternifolia	WHWC01000271.1
buddleja_alternifolia	WHWC01000272.1
buddleja_alternifolia	WHWC01000273.1
buddleja_alternifolia	WHWC01000275.1
buddleja_alternifolia	WHWC01000278.1
buddleja_alternifolia	WHWC01000280.1
buddleja_alternifolia	WHWC01000282.1
buddleja_alternifolia	WHWC01000283.1
buddleja_alternifolia	WHWC01000291.1
buddleja_alternifolia	WHWC01000292.1
buddleja_alternifolia	WHWC01000293.1
buddleja_alternifolia	WHWC01000296.1
buddleja_alternifolia	WHWC01000297.1
buddleja_alternifolia	WHWC01000299.1
buddleja_alternifolia	WHWC01000300.1
buddleja_alternifolia	WHWC01000301.1
buddleja_alternifolia	WHWC01000302.1
buddleja_alternifolia	WHWC01000304.1
buddleja_alternifolia	WHWC01000305.1
buddleja_alternifolia	WHWC01000307.1
buddleja_alternifolia	WHWC01000310.1
buddleja_alternifolia	WHWC01000313.1
buddleja_alternifolia	WHWC01000315.1
buddleja_alternifolia	WHWC01000316.1
buddleja_alternifolia	WHWC01000317.1
buddleja_alternifolia	WHWC01000318.1
buddleja_alternifolia	WHWC01000320.1
buddleja_alternifolia	WHWC01000327.1
buddleja_alternifolia	WHWC01000329.1
buddleja_alternifolia	WHWC01000330.1
buddleja_alternifolia	WHWC01000331.1
buddleja_alternifolia	WHWC01000333.1
buddleja_alternifolia	WHWC01000334.1
buddleja_alternifolia	WHWC01000335.1
buddleja_alternifolia	WHWC01000337.1
buddleja_alternifolia	WHWC01000338.1
buddleja_alternifolia	WHWC01000340.1
buddleja_alternifolia	WHWC01000341.1
buddleja_alternifolia	WHWC01000343.1
buddleja_alternifolia	WHWC01000346.1
buddleja_alternifolia	WHWC01000348.1
buddleja_alternifolia	WHWC01000349.1
buddleja_alternifolia	WHWC01000353.1
buddleja_alternifolia	WHWC01000354.1
buddleja_alternifolia	WHWC01000357.1
buddleja_alternifolia	WHWC01000358.1
buddleja_alternifolia	WHWC01000360.1
buddleja_alternifolia	WHWC01000361.1
buddleja_alternifolia	WHWC01000362.1
buddleja_alternifolia	WHWC01000364.1
buddleja_alternifolia	WHWC01000365.1
buddleja_alternifolia	WHWC01000366.1
buddleja_alternifolia	WHWC01000367.1
buddleja_alternifolia	WHWC01000368.1
buddleja_alternifolia	WHWC01000369.1
buddleja_alternifolia	WHWC01000374.1
buddleja_alternifolia	WHWC01000375.1
buddleja_alternifolia	WHWC01000376.1
buddleja_alternifolia	WHWC01000379.1
buddleja_alternifolia	WHWC01000380.1
buddleja_alternifolia	WHWC01000382.1
buddleja_alternifolia	WHWC01000383.1
buddleja_alternifolia	WHWC01000384.1
buddleja_alternifolia	WHWC01000386.1
buddleja_alternifolia	WHWC01000387.1
buddleja_alternifolia	WHWC01000389.1
buddleja_alternifolia	WHWC01000393.1
buddleja_alternifolia	WHWC01000395.1
buddleja_alternifolia	WHWC01000396.1
buddleja_alternifolia	WHWC01000397.1
buddleja_alternifolia	WHWC01000398.1
buddleja_alternifolia	WHWC01000399.1
buddleja_alternifolia	WHWC01000401.1
buddleja_alternifolia	WHWC01000402.1
buddleja_alternifolia	WHWC01000404.1
buddleja_alternifolia	WHWC01000405.1
buddleja_alternifolia	WHWC01000407.1
buddleja_alternifolia	WHWC01000411.1
buddleja_alternifolia	WHWC01000413.1
buddleja_alternifolia	WHWC01000414.1
buddleja_alternifolia	WHWC01000417.1
buddleja_alternifolia	WHWC01000418.1
buddleja_alternifolia	WHWC01000419.1
buddleja_alternifolia	WHWC01000422.1
buddleja_alternifolia	WHWC01000428.1
buddleja_alternifolia	WHWC01000429.1
buddleja_alternifolia	WHWC01000430.1
buddleja_alternifolia	WHWC01000431.1
buddleja_alternifolia	WHWC01000435.1
buddleja_alternifolia	WHWC01000436.1
buddleja_alternifolia	WHWC01000437.1
buddleja_alternifolia	WHWC01000438.1
buddleja_alternifolia	WHWC01000439.1
capsella_grandiflora	Scaffold1
capsella_grandiflora	Scaffold10000
capsella_grandiflora	Scaffold10009
capsella_grandiflora	Scaffold10015
capsella_grandiflora	Scaffold10022
capsella_grandiflora	Scaffold10032
capsella_grandiflora	Scaffold1004
capsella_grandiflora	Scaffold10063
capsella_grandiflora	Scaffold10066
capsella_grandiflora	Scaffold1008
capsella_grandiflora	Scaffold10085
capsella_grandiflora	Scaffold10110
capsella_grandiflora	Scaffold1013
capsella_grandiflora	Scaffold10149
capsella_grandiflora	Scaffold10159
capsella_grandiflora	Scaffold10160
capsella_grandiflora	Scaffold10175
capsella_grandiflora	Scaffold10176
capsella_grandiflora	Scaffold10180
capsella_grandiflora	Scaffold10188
capsella_grandiflora	Scaffold10198
capsella_grandiflora	Scaffold1022
capsella_grandiflora	Scaffold10221
capsella_grandiflora	Scaffold10234
capsella_grandiflora	Scaffold10245
capsella_grandiflora	Scaffold10260
capsella_grandiflora	Scaffold10266
capsella_grandiflora	Scaffold10267
capsella_grandiflora	Scaffold10269
capsella_grandiflora	Scaffold10277
capsella_grandiflora	Scaffold10289
capsella_grandiflora	Scaffold10290
capsella_grandiflora	Scaffold10291
capsella_grandiflora	Scaffold10293
capsella_grandiflora	Scaffold10303
capsella_grandiflora	Scaffold10304
capsella_grandiflora	Scaffold1031
capsella_grandiflora	Scaffold10324
capsella_grandiflora	Scaffold1033
capsella_grandiflora	Scaffold10339
capsella_grandiflora	Scaffold10347
capsella_grandiflora	Scaffold10348
capsella_grandiflora	Scaffold10351
capsella_grandiflora	Scaffold10355
capsella_grandiflora	Scaffold1036
capsella_grandiflora	Scaffold10374
capsella_grandiflora	Scaffold10399
capsella_grandiflora	Scaffold104
capsella_grandiflora	Scaffold10413
capsella_grandiflora	Scaffold10420
capsella_grandiflora	Scaffold10421
capsella_grandiflora	Scaffold10423
capsella_grandiflora	Scaffold10427
capsella_grandiflora	Scaffold1043
capsella_grandiflora	Scaffold1044
capsella_grandiflora	Scaffold10443
capsella_grandiflora	Scaffold10445
capsella_grandiflora	Scaffold10452
capsella_grandiflora	Scaffold10465
capsella_grandiflora	Scaffold10496
capsella_grandiflora	Scaffold10500
capsella_grandiflora	Scaffold10504
capsella_grandiflora	Scaffold1051
capsella_grandiflora	Scaffold10510
capsella_grandiflora	Scaffold10512
